respno,refnumb,casenumb,country,v5,identity,supdem,supold,supnow,supfut,rejone,rejtrd,rejmil,rejdic,rejexp,dmpext,dmpsat,dmpvot,dmpsay,defnew,defjug,defele,spamar,spafee,sparet,spaprv,sapknw,sapmin,sapsat,occup,gender,age,educ,unemp,urbrur,medrad,medtv,mednew,povfoo,povwat,povhth,povelc,povinc,hltmen,aidexp,demoe1,demoe2,demoe3,demmaj,demspc,demele,demmpd,demnec,dememp,demedu,demgap,marsuc,marjob,marear,marrsk,marhse,marcdt,marcom,marsch,maremp,marcrm,sctrust,scint,scdsc,scund,sckloc,sckmp,sckfin,sckvp,nidprd,nidchl,gidprd,gidchl,gidbes,gidstr,pfesol,pfeemp,pfeprc,pfegap,pfenow,pfepas,pfefut,pfeerd,pfegrp,pfrsay,pfrass,pfrvot,pfreql,pfrele,pfrgpt,pfrfai,pfrall,pfrgpr,pfpcrm,pfpsaf,pfpcr1,pfpcr2,pfpcr3,pfpcr4,pfpcr5,trspre,trspol,trscts,trsarm,trsnec,trsbrd,pfgpre,pfgmp,pfgloc,pfgedu,pfghlt,pfghiv,mip1,mip2,legcon,leggov,memrel,memdev,membus,memlab,pidcls,pidwin,parvot,parcom,pariss,parral,parcam,parlet,pardem,parctg,parcti,xstronld,withinwt,acrosswt,combinwt,africawt,afcombwt,race,language,party,area,urbrur_original,urbrur_sample,region,locationlevel1,locationlevel2,townvill,eanumb,uniqueea,geoname_id,precision_code,place_name,latitude,longitude,location_type_code,geoname_adm_code,geoname_adm_name,location_class,geographic_exactness;
ZIM1188,1188,11ZIM,ZIM,12,6,2,99,99,99,1,1,1,1,1,9,0,5,4,0,0,0,4,3,1,1,1,3,1,61,1,26,2,1,1,9,9,9,1,1,1,3,1,2,1,0,0,0,1,1,1,1,1,1,1,1,1,3,2,4,2,2,2,2,2,2,99,4,2,1,9,9,9,9,5,4,5,5,5,5,3,1,1,99,1,1,1,1,1,5,4,3,3,9,4,1,3,997,1,3,99,1,2,2,5,1,2,3,3,1,1,1,1,2,1,1,99,9,29,1,1,0,0,0,1,2,1,1,0,4,4,4,4,4,0,0,4,1,1,1,.73587143,.73587143,1,18,0,19,Rural,,Mashonaland East,,Marondera,,#NULL!,2898,886989,3,Marondera District,-18.292139,31.51252,ADM2,6295630|6255146|ZW|04|886989,Earth|Africa|Zimbabwe|Mashonaland East Province|Marondera District,1,1;
ZIM1189,1189,12ZIM,ZIM,12,6,3,99,99,99,5,5,1,1,1,3,1,1,4,0,0,0,4,4,1,1,0,97,97,50,2,27,2,0,2,5,0,4,0,2,2,3,2,2,1,0,0,0,3,3,3,2,3,1,1,3,1,1,1,4,1,1,2,1,2,1,2,2,2,2,1,1,9,9,5,5,5,5,5,5,3,4,3,99,2,1,1,1,1,2,3,3,3,3,5,1,3,997,3,4,99,2,3,2,2,1,3,3,3,2,3,4,2,4,3,3,99,9,29,1,1,1,1,0,0,1,2,3,0,3,3,2,9,3,0,3,3,1,1,1,.73587143,.73587143,1,18,27,19,Rural,,Mashonaland East,,Uzumba,,#NULL!,2913,10800411,3,Uzumba-Maramba-Pfungwe District,-17.03775,32.0257,ADM2,6295630|6255146|ZW|04|10800411,Earth|Africa|Zimbabwe|Mashonaland East Province|Uzumba-Maramba-Pfungwe District,1,1;
ZIM1190,1190,13ZIM,ZIM,12,2,2,99,99,99,3,3,3,3,3,9,1,5,5,9,9,9,4,1,4,2,0,97,97,60,1,999,1,1,2,9,9,9,2,2,2,2,2,2,1,80,11,0,1,1,1,1,1,1,1,1,4,4,3,3,1,1,1,1,1,1,2,5,9,4,9,9,9,9,5,5,5,5,5,5,1,2,2,99,1,1,1,1,1,5,5,5,1,9,5,4,3,997,2,1,99,1,1,1,3,1,3,3,3,2,9,1,1,1,1,4,99,36,31,3,1,0,0,0,0,2,1,5,0,0,0,0,0,0,0,0,1,1,1,1,.73587143,.73587143,1,18,0,19,Rural,,Mashonaland East,,Nhowe,,#NULL!,2905,886842,4,Mashonaland East Province,-17.966669,31.66667,ADM1,6295630|6255146|ZW|04,Earth|Africa|Zimbabwe|Mashonaland East Province,1,1;
ZIM1191,1191,14ZIM,ZIM,12,1,3,99,99,99,3,3,3,3,3,0,1,4,5,0,0,0,4,4,4,4,0,97,97,14,2,38,1,1,2,5,4,9,2,2,2,3,2,2,1,2,0,0,4,1,4,1,1,1,1,4,4,4,1,4,1,1,1,1,1,1,2,1,2,2,1,9,1,9,5,5,5,5,5,5,3,1,1,99,1,1,1,1,1,3,3,3,3,1,5,1,1,66,1,3,99,1,1,1,3,1,1,1,9,1,3,1,1,1,1,1,99,9,41,3,3,1,0,1,0,2,1,2,0,3,2,0,4,4,3,3,1,1,1,1,.73587143,.73587143,1,18,0,19,Rural,,Mashonaland East,,Goromonzi,,#NULL!,2892,890848,3,Goromonzi District,-17.80695,31.36372,ADM2,6295630|6255146|ZW|04|890848,Earth|Africa|Zimbabwe|Mashonaland East Province|Goromonzi District,1,1;
ZIM1192,1192,15ZIM,ZIM,12,6,4,99,99,99,6,6,6,6,6,9,4,5,6,9,9,9,5,5,5,1,1,4,2,61,2,999,2,1,2,5,5,5,1,5,5,3,5,2,1,0,0,0,1,1,1,1,1,1,1,1,4,4,3,3,8,8,8,8,8,8,1,3,1,9,1,0,1,1,5,5,5,5,5,5,6,9,9,99,1,1,1,1,1,6,6,6,6,9,5,1,3,997,9,6,99,1,1,1,5,1,4,4,4,4,4,1,1,1,9,9,99,9,29,4,4,1,1,1,1,2,1,5,3,9,9,9,9,4,0,0,2,1,1,1,.73587143,.73587143,1,18,0,19,Rural,,Mashonaland East,,Domboshava,,#NULL!,2891,892250,1,Dombosnawa,-17.601271,31.136271,PPL,6295630|6255146|ZW|04|892250,Earth|Africa|Zimbabwe|Mashonaland East Province|Dombosnawa,2,1;
ZIM1193,1193,16ZIM,ZIM,12,1,3,99,99,99,1,1,1,1,1,0,2,4,6,1,1,1,4,2,2,4,0,97,97,99,1,28,99,99,1,5,5,4,0,1,1,1,1,3,2,0,0,0,2,2,2,2,2,4,2,4,4,4,4,4,1,1,1,1,1,1,1,4,1,9,9,5,9,1,3,3,3,3,3,3,4,1,1,99,1,1,1,2,3,4,4,4,4,1,3,5,3,997,1,4,99,3,2,2,5,2,1,9,1,4,4,2,3,2,1,1,99,9,19,1,1,1,1,1,1,2,1,2,2,2,2,2,4,9,1,2,4,1,1,1,.73587143,.73587143,1,18,0,19,Rural,,Mashonaland East,,Junction Gate,Chipinge,#NULL!,2893,893549,1,Chipinge,-20.18833,32.62365,PPL,6295630|6255146|ZW|01|893549,Earth|Africa|Zimbabwe|Manicaland|Chipinge,2,1;
ZIM1194,1194,17ZIM,ZIM,12,1,3,99,99,99,2,2,2,2,2,2,9,1,5,9,9,9,4,4,1,1,1,4,2,60,2,71,1,0,2,5,9,9,2,2,2,3,2,2,1,2,0,0,2,2,2,2,2,2,2,3,4,5,4,5,8,8,8,8,8,8,1,3,2,3,1,1,9,9,4,4,4,4,4,4,6,3,3,99,1,1,1,1,4,6,6,6,6,2,4,4,1,67,3,6,99,1,1,2,5,1,3,9,3,9,9,1,1,3,3,3,99,9,34,1,1,1,1,1,1,2,1,3,2,1,4,1,0,4,1,0,1,1,1,1,.73587143,.73587143,1,18,0,19,Rural,,Mashonaland East,,Domboshava,Domboshava rura,#NULL!,2891,892250,1,Dombosnawa,-17.601271,31.136271,PPL,6295630|6255146|ZW|04|892250,Earth|Africa|Zimbabwe|Mashonaland East Province|Dombosnawa,2,1;
ZIM1195,1195,18ZIM,ZIM,12,1,3,99,99,99,1,1,1,1,1,0,1,1,4,1,1,1,5,1,1,1,1,9,2,14,2,18,1,0,2,5,5,1,0,0,0,5,1,0,3,3,0,0,2,3,2,2,2,2,2,3,1,5,5,5,1,1,1,1,1,1,1,3,0,1,9,9,9,9,4,4,4,4,4,4,6,2,3,99,3,1,1,4,4,2,6,4,2,2,4,4,3,997,2,6,99,9,9,9,3,2,1,3,3,3,3,9,9,6,2,2,99,9,31,1,1,1,0,0,0,2,1,2,0,2,2,2,2,0,0,0,2,1,1,1,.73587143,.73587143,1,18,0,19,Rural,,Mashonaland East,,Goromonzi,Goromonzi,#NULL!,2892,890848,3,Goromonzi District,-17.80695,31.36372,ADM2,6295630|6255146|ZW|04|890848,Earth|Africa|Zimbabwe|Mashonaland East Province|Goromonzi District,1,1;
ZIM1196,1196,19ZIM,ZIM,12,1,3,99,99,99,1,2,2,3,3,1,2,1,2,1,1,1,1,2,1,2,1,1,3,60,1,27,1,1,2,5,0,4,0,1,1,0,0,3,1,4,1,0,2,2,2,2,2,2,2,2,1,3,4,4,1,1,1,1,2,1,1,1,2,2,1,1,9,5,4,4,4,4,4,4,2,2,2,99,1,3,1,1,4,2,2,2,2,3,4,3,1,62,2,2,99,4,1,1,5,1,1,9,2,3,2,1,2,3,2,2,99,32,13,2,2,1,1,1,1,1,2,1,3,3,2,1,2,1,0,0,4,1,1,1,.73587143,.73587143,1,18,27,19,Rural,,Mashonaland East,,Chemapango,Murehwa,#NULL!,2888,885159,1,Murewa,-17.643221,31.784,PPL,6295630|6255146|ZW|04|885159,Earth|Africa|Zimbabwe|Mashonaland East Province|Murewa,2,1;
ZIM1197,1197,20ZIM,ZIM,12,1,2,99,99,99,1,1,1,1,1,1,9,1,1,1,1,1,5,3,3,1,0,97,97,47,1,64,2,0,1,5,0,1,2,2,2,2,2,2,1,4,0,0,2,2,2,2,2,2,2,3,4,1,4,1,1,1,1,1,1,4,2,1,2,1,1,1,9,1,4,4,4,4,4,4,4,1,3,99,1,3,1,2,4,4,4,4,4,2,4,5,3,997,3,4,99,2,9,9,2,2,2,9,3,9,9,1,2,9,3,3,99,16,34,3,4,0,0,0,0,1,2,3,0,4,1,4,4,4,2,2,4,1,1,1,.73587143,.73587143,1,18,27,19,Urban,,Mashonaland East,,Beatrice,Beatrice,#NULL!,2886,895308,1,Beatrice,-18.252831,30.8473,PPL,6295630|6255146|ZW|04|895308,Earth|Africa|Zimbabwe|Mashonaland East Province|Beatrice,2,1;
